40730,Brn,20230809 23:47:52,20230810 00:00:52,0,0,0,Washington/Wells,Kimball,41.92505,-87.65287,15,15
40730,Pink,20230809 23:47:51,20230810 00:01:51,0,0,0,Washington/Wells,54th/Cermak,41.88526,-87.66864,19,19
40730,Org,20230809 23:47:33,20230810 00:02:33,0,0,0,Washington/Wells,Midway,41.83957,-87.66485,65,65
40730,Pink,20230809 23:47:11,20230810 00:20:11,0,0,0,Washington/Wells,54th/Cermak,41.85192,-87.74534,24,24
40460,Brn,20230809 23:47:52,20230809 23:58:52,0,0,0,Merchandise Mart,Loop,41.92505,-87.65287,15,15
40460,Brn,20230809 23:47:52,20230810 00:10:52,0,0,0,Merchandise Mart,Kimball,41.92505,-87.65287,15,15
40330,Red,20230809 23:48:00,20230809 23:53:00,0,0,0,Grand,Howard,41.87404,-87.62748,15,15
40330,Red,20230809 23:47:03,20230809 23:53:03,0,0,0,Grand,95th/Dan Ryan,41.91065,-87.64918,18,18
40330,Red,20230809 23:47:49,20230810 00:04:49,0,0,0,Grand,95th/Dan Ryan,41.9534,-87.65369,16,1
41400,Org,20230809 23:47:58,20230809 23:49:58,0,0,0,Roosevelt,Midway,41.87405,-87.62679,15,15
41400,Red,20230809 23:48:00,20230809 23:51:00,0,0,0,Roosevelt,95th/Dan Ryan,41.88198,-87.62772,11,11
41400,G,20230809 23:47:59,20230809 23:51:59,0,0,0,Roosevelt,Cottage Grove,41.88202,-87.62616,11,11
41400,Org,20230809 23:47:33,20230809 23:55:33,0,0,0,Roosevelt,Loop,41.83957,-87.66485,65,65
41400,Org,20230809 23:48:01,20230809 23:59:01,0,0,0,Roosevelt,Midway,41.87803,-87.63371,14,14
41400,Red,20230809 23:47:03,20230810 00:01:03,0,0,0,Roosevelt,95th/Dan Ryan,41.91065,-87.64918,18,18
41160,Pink,20230809 23:47:51,20230809 23:50:51,0,0,0,Clinton,Loop,41.88526,-87.66864,19,19
41160,Pink,20230809 23:47:58,20230809 23:53:58,0,0,0,Clinton,54th/Cermak,41.87686,-87.63174,14,14
41160,G,20230809 23:47:39,20230809 23:53:39,0,0,0,Clinton,Ashland/63rd,41.88436,-87.69232,21,21
41160,G,20230809 23:47:50,20230809 23:55:50,0,0,0,Clinton,Harlem/Lake,41.87452,-87.62655,15,15
41160,Pink,20230809 23:47:51,20230810 00:05:51,0,0,0,Clinton,54th/Cermak,41.88526,-87.66864,19,19
41160,Pink,20230809 23:47:11,20230810 00:08:11,0,0,0,Clinton,Loop,41.85192,-87.74534,24,24
41160,G,20230809 23:47:41,20230810 00:09:41,0,0,0,Clinton,Cottage Grove,41.88699,-87.79378,18,18
41220,Brn,20230809 23:47:51,20230809 23:54:51,0,0,0,Fullerton,Kimball,41.92505,-87.65287,15,15
41220,Red,20230809 23:47:49,20230809 23:55:49,0,0,0,Fullerton,95th/Dan Ryan,41.9534,-87.65369,16,1
41220,Red,20230809 23:48:00,20230810 00:02:00,0,0,0,Fullerton,Howard,41.87404,-87.62748,15,15
41220,Brn,20230809 23:47:52,20230810 00:22:52,0,0,0,Fullerton,Kimball,41.92505,-87.65287,15,15
41120,G,20230809 23:47:55,20230809 23:58:55,0,0,0,35th-Bronzeville-IIT,Harlem/Lake,41.78904,-87.61817,27,27
41120,G,20230809 23:47:59,20230809 23:58:59,0,0,0,35th-Bronzeville-IIT,Cottage Grove,41.88202,-87.62616,11,11
41120,G,20230809 23:47:39,20230810 00:10:39,0,0,0,35th-Bronzeville-IIT,Ashland/63rd,41.88436,-87.69232,21,21
41120,G,20230809 23:47:41,20230810 00:26:41,0,0,0,35th-Bronzeville-IIT,Cottage Grove,41.88699,-87.79378,18,18
41320,Red,20230809 23:47:49,20230809 23:51:49,0,0,0,Belmont,95th/Dan Ryan,41.9534,-87.65369,16,1
41320,Brn,20230809 23:47:51,20230809 23:57:51,0,0,0,Belmont,Kimball,41.93981,-87.65338,14,14
41320,Red,20230809 23:48:00,20230810 00:05:00,0,0,0,Belmont,Howard,41.87404,-87.62748,15,15
41320,Brn,20230809 23:47:52,20230810 00:26:52,0,0,0,Belmont,Kimball,41.92505,-87.65287,15,15
40820,Blue,20230809 23:47:50,20230809 23:48:50,0,0,0,Rosemont,Forest Park,41.98351,-87.85939,57,57
40820,Blue,20230809 23:47:52,20230809 23:51:52,0,0,0,Rosemont,O'Hare,41.98355,-87.8193,67,67
40820,Blue,20230809 23:47:45,20230810 00:01:45,0,0,0,Rosemont,O'Hare,41.95604,-87.73464,60,60
40820,Blue,20230809 23:47:54,20230810 00:13:54,0,0,0,Rosemont,O'Hare,41.91257,-87.68183,16,16
40820,Blue,20230809 23:47:46,20230810 00:21:46,0,0,0,Rosemont,O'Hare,41.88573,-87.63293,11,11
